code,name,price,category,brand,cpu1,cpu2,cpu3,ram,oCung,cardManHinh1,cardManHinh2,manHinh1,manHinh2,congKetNoi1,congKetNoi2,thietKe,kichThuoc,thoiGianRaMat,rating,full_name,full_name_1
220042001851,laptop,18990000, Laptop ,hp,i5,1155g7,2.5ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,14,full hd 1920 x 1080,1x superspeed usb typec,2x superspeed usb a,dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg,2021,2021,0.0, laptop hp i5 1155g7 2.5ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 1x superspeed usb typec 2x superspeed usb a dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg, laptop hp i5 1155g7 2.5ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 1x superspeed usb typec 2x superspeed usb a dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg
220042001868,laptop,18990000, Laptop ,hp,i5,1135g7,2.4ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,2 x usb 3.1,hdmi,dài 360.2 mm  rộng 234 mm  dày 17.9 mm  nặng 1.677 kg,2021,2021,0.0, laptop hp i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.1 hdmi dài 360.2 mm  rộng 234 mm  dày 17.9 mm  nặng 1.677 kg, laptop hp i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.1 hdmi dài 360.2 mm  rộng 234 mm  dày 17.9 mm  nặng 1.677 kg
220042001591,laptop,18990000, Laptop ,asus,i5,1135g7,2.4ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card rời,mx330 2gb,15.6,full hd 1920 x 1080,1 x usb 3.2,2 x usb 2.0,dài 360.2 mm  rộng 234.9 mm  dày 19.9 mm  nặng 1.8 kg,2021,2021,3.1," laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời mx330 2gb 15.6 full hd 1920 x 1080 1 x usb 3.2 2 x usb 2.0 dài 360.2 mm  rộng 234.9 mm  dày 19.9 mm  nặng 1.8 kg"," laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời mx330 2gb 15.6 full hd 1920 x 1080 1 x usb 3.2 2 x usb 2.0 dài 360.2 mm  rộng 234.9 mm  dày 19.9 mm  nặng 1.8 kg"
220042001775,laptop,18890000, Laptop ,dell,i5,1135g7,2.4ghz,8 gb,"256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.64 kg,2021,2021,0.0," laptop dell i5 1135g7 2.4ghz 8 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.64 kg"," laptop dell i5 1135g7 2.4ghz 8 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.64 kg"
220042001876,laptop,18490000, Laptop ,lenovo,i5,1135g7,2.4ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2242",card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,1 x usb 3.2,hdmi,dài 359.2 mm  rộng 236.5 mm  dày 19.9 mm  nặng 1.65 kg,2021,2021,0.0," laptop lenovo i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2242 card tích hợp intel iris xe 15.6 full hd 1920 x 1080 1 x usb 3.2 hdmi dài 359.2 mm  rộng 236.5 mm  dày 19.9 mm  nặng 1.65 kg"," laptop lenovo i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2242 card tích hợp intel iris xe 15.6 full hd 1920 x 1080 1 x usb 3.2 hdmi dài 359.2 mm  rộng 236.5 mm  dày 19.9 mm  nặng 1.65 kg"
220042001664,laptop,18490000, Laptop ,hp,i5,1135g7,2.4ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,14,full hd 1920 x 1080,2x superspeed usb a,hdmi,dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg,2021,2021,0.0, laptop hp i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 2x superspeed usb a hdmi dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg, laptop hp i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 2x superspeed usb a hdmi dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg
220042001784,laptop,18490000, Laptop ,dell,ryzen 5,3500u,2.1ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2230",card tích hợp,radeon vega 8,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.7 kg,2021,2021,0.0," laptop dell ryzen 5 3500u 2.1ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2230 card tích hợp radeon vega 8 14 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.7 kg"," laptop dell ryzen 5 3500u 2.1ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2230 card tích hợp radeon vega 8 14 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.7 kg"
220042001544,laptop,18490000, Laptop ,dell,ryzen 5,3500u,2.1ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2230",card tích hợp,radeon vega 8,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.7 kg,2020,2020,3.0," laptop dell ryzen 5 3500u 2.1ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2230 card tích hợp radeon vega 8 14 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.7 kg"," laptop dell ryzen 5 3500u 2.1ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb 2280  512gb 2230 card tích hợp radeon vega 8 14 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 328.7 mm  rộng 239.5 mm  dày 19.9 mm  nặng 1.7 kg"
220042001826,laptop,18390000, Laptop ,dell,ryzen 3,5300u,2.6ghz,8 gb,"256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb 2280  1tb 2230",card tích hợp,radeon,15.6,full hd 1920 x 1080,1x usb 3.2 gen 1 typec with power deliverydisplayport alt mode,2 x usb 3.2,vỏ nhựa,Dài 356 mm - Rộng 229 mm - Dày 18 mm - Nặng 1.77 kg,Dài 356 mm - Rộng 229 mm - Dày 18 mm - Nặng 1.77 kg,0.0," laptop dell ryzen 3 5300u 2.6ghz 8 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb 2280  1tb 2230 card tích hợp radeon 15.6 full hd 1920 x 1080 1x usb 3.2 gen 1 typec with power deliverydisplayport alt mode 2 x usb 3.2 vỏ nhựa"," laptop dell ryzen 3 5300u 2.6ghz 8 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb 2280  1tb 2230 card tích hợp radeon 15.6 full hd 1920 x 1080 1x usb 3.2 gen 1 typec with power deliverydisplayport alt mode 2 x usb 3.2 vỏ nhựa"
220042001395,laptop,18290000, Laptop ,hp,i5,1035g1,1.00 ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel uhd,14,full hd 1920 x 1080,hdmi,usb typec,dài 324 mm  rộng 225 mm  dày 17.9 mm  nặng 1.38 kg,2020,2020,4.1, laptop hp i5 1035g1 1.00 ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel uhd 14 full hd 1920 x 1080 hdmi usb typec dài 324 mm  rộng 225 mm  dày 17.9 mm  nặng 1.38 kg, laptop hp i5 1035g1 1.00 ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel uhd 14 full hd 1920 x 1080 hdmi usb typec dài 324 mm  rộng 225 mm  dày 17.9 mm  nặng 1.38 kg
