_id,brand,category,code,cpu1,cpu2,cpu3,design,disk,full_name,img,name,price,ram,rating,release,screen1,screen2,size,vga1,vga2
622a1d6534eebec0045fe3a6, Asus , Laptop ,220042001801,i5,1135G7,2.4GHz,Vỏ kim loại nguyên khối,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Asus  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 13.3"" Full HD (1920 x 1080) OLED",https://cdn.tgdd.vn/Products/Images/44/267786/Slider/vi-vn-asus-zenbook-ux325ea-i5-kg656w-3.jpg,Laptop,24790000,8 GB,0.0,Dài 304.2 mm - Rộng 203 mm - Dày 13.9 mm - Nặng 1.14 kg,"13.3""",Full HD (1920 x 1080) OLED,Dài 304.2 mm - Rộng 203 mm - Dày 13.9 mm - Nặng 1.14 kg,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe3bd, Asus , Laptop ,220042001916,i5,1135G7,2.4GHz,Vỏ kim loại,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Asus  i5 1135G7 2.4GHz 8 GB Card rời MX350 2GB 15.6"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/273249/asus-vivobook-s533eq-i5-bn441w-3.jpg,Laptop,22990000,8 GB,0.0,Dài 359.8 mm - Rộng 233.8 mm - Dày 16.1 mm - Nặng 1.8 kg,"15.6""",Full HD (1920 x 1080),Dài 359.8 mm - Rộng 233.8 mm - Dày 16.1 mm - Nặng 1.8 kg,Card rời,MX350 2GB
622a1d6534eebec0045fe3ce, Acer , Laptop ,220042001886,i5,1135G7,2.4GHz,Vỏ nhựa - nắp lưng bằng kim loại,1 TB SSD M.2 PCIe,"Laptop  Acer  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/271043/acer-aspire-a514-54-511g-i5-nxa28sv009-3.jpg,Laptop,19990000,8 GB,0.0,Dài 328 mm - Rộng 223 mm - Dày 17.95 mm - Nặng 1.46 kg,"14""",Full HD (1920 x 1080),Dài 328 mm - Rộng 223 mm - Dày 17.95 mm - Nặng 1.46 kg,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe3d3, HP , Laptop ,220042001817,i5,1135G7,2.4GHz,Dài 325 mm - Rộng 216.6 mm - Dày 17 mm - Nặng 1.41 kg,512 GB SSD NVMe PCIe,"Laptop  HP  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/269044/Slider/vi-vn-hp-pavilion-14-dv0535tu-i5-4p5g4pa-win11-3.jpg,Laptop,19790000,8 GB,5.0,2021,"14""",Full HD (1920 x 1080),2021,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe3e9, HP , Laptop ,220042001483,i5,1135G7,2.4GHz,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.682 kg,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  HP  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/247277/Slider/vi-vn-hp-pavilion-15-eg0507tu-i5-46m06pa-3.jpg,Laptop,17990000,8 GB,4.2,2021,"15.6""",Full HD (1920 x 1080),2021,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe401, Asus , Laptop ,220042001727,i3,1115G4,3GHz,Dài 359 mm - Rộng 235 mm - Dày 17.9 mm - Nặng 1.8 kg,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Asus  i3 1115G4 3GHz 8 GB Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/263894/Slider/vi-vn-asus-vivobook-a515ea-i3-1115g4-8gb-512gb-3.jpg,Laptop,16490000,8 GB,5.0,2021,"15.6""",Full HD (1920 x 1080),2021,Card tích hợp,Intel UHD
622a1d6534eebec0045fe404, HP , Laptop ,220042001919,Ryzen 5,5500U,2.1GHz,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.47 kg,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  HP  Ryzen 5 5500U 2.1GHz 8 GB Card tích hợp Radeon 14"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/273293/hp-245-g8-r5-61c65pa-3.jpg,Laptop,16790000,8 GB,0.0,2021,"14""",Full HD (1920 x 1080),2021,Card tích hợp,Radeon
622a1d6534eebec0045fe40d, HP , Laptop ,220042001653,i3,1125G4,2GHz,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.682 kg,512 GB SSD NVMe PCIe,"Laptop  HP  i3 1125G4 2GHz 4 GB Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/255266/Slider/vi-vn-hp-pavilion-15-eg0541tu-i3-4p5g8pa-2.jpg,Laptop,15790000,4 GB,4.0,2021,"15.6""",Full HD (1920 x 1080),2021,Card tích hợp,Intel UHD
622a1d6534eebec0045fe416, HP , Laptop ,220042001850,i3,1125G4,2GHz,Dài 325 mm - Rộng 216.6 mm - Dày 17 mm - Nặng 1.41 kg,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  HP  i3 1125G4 2GHz 4 GB Card tích hợp Intel UHD 14"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/270099/hp-pavilion-14-dv0516tu-i3-win11-46l88pa-03.jpg,Laptop,14590000,4 GB,4.5,2021,"14""",Full HD (1920 x 1080),2021,Card tích hợp,Intel UHD
622a1d6534eebec0045fe42d, Acer , Laptop ,220042001744,Pentium,N6000,1.1GHz,Dài 328 mm - Rộng 236 mm - Dày 19.9 mm - Nặng 1.45 kg,512 GB SSD NVMe PCIe,"Laptop  Acer  Pentium N6000 1.1GHz 4 GB Card tích hợp Intel UHD 14"" HD (1366 x 768)",https://cdn.tgdd.vn/Products/Images/44/264495/Slider/vi-vn-acer-aspire-3-a314-35-p6nc-nxa7ssv006-3.jpg,Laptop,10290000,4 GB,3.5,2021,"14""",HD (1366 x 768),2021,Card tích hợp,Intel UHD
